year,state,Auto,Bus,Truck,Motorcycle
1920,Alabama,61941,0,12696,1035
1920,Alaska,0,0,0,0
1920,Arizona,30301,0,4300,542
1920,Arkansas,55082,0,4000,0
1920,California,490323,0,93300,20564
1920,Colorado,113755,0,15500,3420
1920,Connecticut,95123,0,24011,4365
1920,Delaware,14600,0,3700,674
1920,District of Columbia,29131,0,5030,2648
1920,Florida,63466,0,10448,1275
1920,Georgia,134000,0,12000,1382
1920,Hawaii,0,0,0,0
1920,Idaho,46611,0,4250,764
1920,Illinois,504250,0,64674,10369
1920,Indiana,300226,0,32841,8823
1920,Iowa,407578,0,29800,4000
1920,Kansas,273159,0,21000,3605
1920,Kentucky,99437,0,13246,1543
1920,Louisiana,66000,0,7000,512
1920,Maine,55395,0,7512,1566
1920,Maryland,84747,0,18094,5222
1920,Massachusetts,223112,0,51386,15143
1920,Michigan,366946,0,45771,8011
1920,Minnesota,301166,0,23000,7546
1920,Mississippi,63721,0,4765,194
1920,Missouri,266748,0,30260,3954
1920,Montana,54828,0,5822,675
1920,Nebraska,200000,0,19000,2100
1920,Nevada,9664,0,800,125
1920,New Hampshire,30240,0,4440,2542
1920,New Jersey,177337,0,50400,11041
1920,New Mexico,14670,0,3050,219
1920,New York,550804,0,125401,30092
1920,North Carolina,127405,0,13455,1418
1920,North Dakota,88540,0,2300,898
1920,Ohio,538090,0,83300,23300
1920,Oklahoma,204300,0,8580,1360
1920,Oregon,103790,0,11600,3434
1920,Pennsylvania,468302,0,101862,23981
1920,Rhode Island,40914,0,9563,2260
1920,South Carolina,87343,0,6500,908
1920,South Dakota,112589,0,7806,777
1920,Tennessee,90214,0,11638,1151
1920,Texas,405993,0,21700,4290
1920,Utah,37060,0,5556,1114
1920,Vermont,28709,0,2916,946
1920,Virginia,101800,0,13670,2233
1920,Washington,144131,0,29789,4915
1920,West Virginia,69862,0,10802,1659
1920,Wisconsin,277093,0,16205,8002
1920,Wyoming,21026,0,2900,327
1921,Alabama,73256,0,9110,810
1921,Alaska,0,0,0,0
1921,Arizona,31069,0,4542,440
1921,Arkansas,61908,0,5500,174
1921,California,592937,0,110600,17729
1921,Colorado,128239,0,17500,2868
1921,Connecticut,110029,0,24923,5282
1921,Delaware,17213,0,4200,541
1921,District of Columbia,34150,0,5177,1101
1921,Florida,83111,0,14846,1296
1921,Georgia,118476,0,13500,1232
1921,Hawaii,0,0,0,0
1921,Idaho,46935,0,4359,744
1921,Illinois,583441,0,80031,8898
1921,Indiana,357025,0,43317,7524
1921,Iowa,430678,0,31396,3897
1921,Kansas,267891,0,21648,2271
1921,Kentucky,110602,0,15025,0
1921,Louisiana,67311,0,10574,479
1921,Maine,67755,0,10059,1525
1921,Maryland,115352,0,20897,5271
1921,Massachusetts,305471,0,55261,12048
1921,Michigan,426984,0,50053,6195
1921,Minnesota,299100,0,24375,3150
1921,Mississippi,60439,0,4600,0
1921,Missouri,311236,0,35600,3609
1921,Montana,53070,0,5715,472
1921,Nebraska,219781,0,18923,1866
1921,Nevada,10000,0,821,131
1921,New Hampshire,39080,0,5045,2358
1921,New Jersey,213421,0,59700,9724
1921,New Mexico,18959,0,3600,152
1921,New York,663478,0,148553,26998
1921,North Carolina,134884,0,13743,1274
1921,North Dakota,90221,0,2423,811
1921,Ohio,622044,0,98590,17203
1921,Oklahoma,212200,0,9100,1013
1921,Oregon,102998,0,15200,3164
1921,Pennsylvania,573020,0,120689,21111
1921,Rhode Island,44915,0,9693,1751
1921,South Carolina,83097,0,6856,0
1921,South Dakota,110997,0,8277,0
1921,Tennessee,102795,0,14230,1043
1921,Texas,440690,0,27200,3905
1921,Utah,40562,0,6923,909
1921,Vermont,33778,0,3487,965
1921,Virginia,122000,0,17200,2100
1921,Washington,157620,0,27739,3913
1921,West Virginia,77397,0,16543,1539
1921,Wisconsin,320577,0,21264,6423
1921,Wyoming,23966,0,2901,322
1922,Alabama,80183,0,9869,638
1922,Alaska,0,0,0,0
1922,Arizona,32134,0,5900,424
1922,Arkansas,76696,0,7900,238
1922,California,748787,0,141800,16301
1922,Colorado,142828,0,19500,2770
1922,Connecticut,127055,0,25929,4386
1922,Delaware,19860,0,4700,427
1922,District of Columbia,46069,0,6723,2357
1922,Florida,96942,0,19228,1456
1922,Georgia,126498,0,16925,1136
1922,Hawaii,0,0,0,0
1922,Idaho,49393,0,4481,703
1922,Illinois,682250,0,99876,8156
1922,Indiana,413410,0,56529,6598
1922,Iowa,469871,0,32019,3570
1922,Kansas,303725,0,23469,2315
1922,Kentucky,136627,0,17394,1042
1922,Louisiana,87003,0,15281,509
1922,Maine,78697,0,14227,1321
1922,Maryland,142248,0,23399,4981
1922,Massachusetts,325307,0,59924,10047
1922,Michigan,518558,0,60422,5160
1922,Minnesota,341322,0,39235,3240
1922,Mississippi,71000,0,6571,100
1922,Missouri,353375,0,39594,2792
1922,Montana,55682,0,6968,397
1922,Nebraska,233658,0,22996,1856
1922,Nevada,10997,0,1800,112
1922,New Hampshire,42270,0,6276,1883
1922,New Jersey,267777,0,74696,9284
1922,New Mexico,17900,0,4500,163
1922,New York,816435,0,185858,25175
1922,North Carolina,163600,0,18950,1190
1922,North Dakota,96080,0,2972,766
1922,Ohio,740884,0,117832,15339
1922,Oklahoma,236659,0,13000,952
1922,Oregon,116729,0,17500,3206
1922,Pennsylvania,683287,0,151050,19316
1922,Rhode Island,53307,0,12776,1434
1922,South Carolina,88121,0,7231,557
1922,South Dakota,116144,0,9097,659
1922,Tennessee,119319,0,16397,1680
1922,Texas,489938,0,36300,3401
1922,Utah,41942,0,7222,742
1922,Vermont,41241,0,2640,856
1922,Virginia,145000,0,23000,1850
1922,Washington,178775,0,31941,3846
1922,West Virginia,94940,0,18000,1361
1922,Wisconsin,356143,0,26399,5718
1922,Wyoming,27410,0,3227,304
1923,Alabama,112797,0,13845,599
1923,Alaska,0,0,0,0
1923,Arizona,43146,0,6565,392
1923,Arkansas,102000,0,11300,300
1923,California,944783,0,155500,14694
1923,Colorado,166256,0,22700,2473
1923,Connecticut,152608,0,29157,4450
